	jaspar_2022_nematodes_m10_MA0542.1	jaspar_2022_nematodes_m11_MA0543.1	jaspar_2022_nematodes_m12_MA0544.1	jaspar_2022_nematodes_m13_MA0545.1	jaspar_2022_nematodes_m14_MA0546.1	jaspar_2022_nematodes_m15_MA0547.1	jaspar_2022_nematodes_m16_MA0918.1	jaspar_2022_nematodes_m17_MA0919.1	jaspar_2022_nematodes_m18_MA0920.1	jaspar_2022_nematodes_m19_MA0921.1	jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m20_MA0922.1	jaspar_2022_nematodes_m21_MA0923.1	jaspar_2022_nematodes_m22_MA0924.1	jaspar_2022_nematodes_m23_MA0925.1	jaspar_2022_nematodes_m24_MA0926.1	jaspar_2022_nematodes_m25_MA0927.1	jaspar_2022_nematodes_m26_MA0928.1	jaspar_2022_nematodes_m27_MA1438.1	jaspar_2022_nematodes_m28_MA1439.1	jaspar_2022_nematodes_m29_MA1440.1	jaspar_2022_nematodes_m2_MA0261.1	jaspar_2022_nematodes_m30_MA1441.1	jaspar_2022_nematodes_m31_MA1442.1	jaspar_2022_nematodes_m32_MA1443.1	jaspar_2022_nematodes_m33_MA1444.1	jaspar_2022_nematodes_m34_MA1445.1	jaspar_2022_nematodes_m35_MA1446.1	jaspar_2022_nematodes_m36_MA1448.1	jaspar_2022_nematodes_m37_MA1449.1	jaspar_2022_nematodes_m38_MA1450.1	jaspar_2022_nematodes_m39_MA1451.1	jaspar_2022_nematodes_m3_MA0262.1	jaspar_2022_nematodes_m40_MA1699.1	jaspar_2022_nematodes_m41_MA1701.1	jaspar_2022_nematodes_m42_MA1703.1	jaspar_2022_nematodes_m43_MA1704.1	jaspar_2022_nematodes_m4_MA0263.1	jaspar_2022_nematodes_m5_MA0264.1	jaspar_2022_nematodes_m6_MA0537.1	jaspar_2022_nematodes_m7_MA0538.1	jaspar_2022_nematodes_m8_MA0540.1	jaspar_2022_nematodes_m9_MA0541.1
jaspar_2022_nematodes_m25_MA0927.1	0.540905	0.895809	0.913412	0.856476	0.672592	0.750373	0.771925	0.243911	0.513431	0.629037	0.852497	0.616833	0.148415	0.189436	0.86328	0.719435	0	0.289369	0.729681	0.42762	0.61452	0.852497	0.403793	0.237671	0.423954	0.628657	0.715736	0.710015	0.673799	0.83886	0.653359	0.826967	0.806299	0.750901	0.551521	0.581272	0.679134	0.591573	0.674268	0.79749	0.942567	0.889422	0.821004
jaspar_2022_nematodes_m26_MA0928.1	0.606847	0.86501	0.923355	0.844829	0.649036	0.734522	0.828109	0.122441	0.65048	0.591969	0.855122	0.582989	0.208337	0.420636	0.822173	0.761525	0.289369	0	0.764573	0.608985	0.717829	0.838927	0.206323	0.304176	0.580904	0.670281	0.703746	0.615034	0.76155	0.856483	0.603709	0.821974	0.826792	0.715468	0.610935	0.499885	0.728114	0.569872	0.573514	0.774959	0.929839	0.906515	0.827929
jaspar_2022_nematodes_m27_MA1438.1	0.617339	0.792534	0.667002	0.756321	0.758313	0.602848	0.50045	0.769686	0.791499	0.825488	0.743757	0.442057	0.725814	0.692018	0.713674	0.83932	0.729681	0.764573	0	0.607386	0.728064	0.769507	0.738317	0.770834	0.795064	0.622312	0.823433	0.785345	0.66207	0.442831	0.734641	0.501997	0.667955	0.801426	0.69325	0.630025	0.13113	0.763889	0.582621	0.771301	0.849374	0.857379	0.787969
jaspar_2022_nematodes_m28_MA1439.1	0.243152	0.778935	0.798662	0.738609	0.687271	0.59622	0.597193	0.526311	0.44842	0.570606	0.717083	0.681937	0.480935	0.413382	0.714571	0.71364	0.42762	0.608985	0.607386	0	0.53372	0.684381	0.639442	0.596147	0.397653	0.695196	0.650881	0.637207	0.690604	0.674494	0.805038	0.6681	0.783705	0.721667	0.278526	0.301317	0.668126	0.79924	0.755714	0.617903	0.832722	0.821419	0.8338
jaspar_2022_nematodes_m29_MA1440.1	0.497802	0.787171	0.799183	0.654393	0.533704	0.729212	0.651773	0.706272	0.204801	0.712405	0.683865	0.652059	0.647283	0.608006	0.675794	0.71726	0.61452	0.717829	0.728064	0.53372	0	0.538485	0.662275	0.588458	0.711888	0.701269	0.744541	0.52632	0.860464	0.832313	0.730537	0.726134	0.665524	0.685218	0.572717	0.645762	0.793254	0.721325	0.818095	0.645338	0.759832	0.833819	0.797562
jaspar_2022_nematodes_m2_MA0261.1	0.740357	0.856847	0.790004	0.609932	0.721515	0.837574	0.813765	0.875964	0.519273	0.787192	0.425504	0.773499	0.886481	0.825757	0.810396	0.729316	0.852497	0.838927	0.769507	0.684381	0.538485	0	0.856247	0.849701	0.741576	0.764363	0.830704	0.66561	0.753353	0.787213	0.771588	0.694255	0.722642	0.865807	0.790076	0.803294	0.830854	0.787941	0.785652	0.734507	0.793343	0.829511	0.751541
jaspar_2022_nematodes_m30_MA1441.1	0.684116	0.823346	0.884124	0.86094	0.640993	0.740096	0.806413	0.277096	0.699362	0.620064	0.843266	0.587257	0.282383	0.409262	0.808697	0.732825	0.403793	0.206323	0.738317	0.639442	0.662275	0.856247	0	0.383408	0.523899	0.548255	0.702219	0.650726	0.788355	0.816498	0.587741	0.759978	0.801921	0.694877	0.640304	0.580093	0.674775	0.660264	0.637394	0.757282	0.915472	0.821043	0.814369
jaspar_2022_nematodes_m31_MA1442.1	0.58882	0.944787	0.925469	0.806628	0.618785	0.764358	0.81035	0.262065	0.616082	0.515321	0.864291	0.427073	0.234652	0.286708	0.881102	0.59145	0.237671	0.304176	0.770834	0.596147	0.588458	0.849701	0.383408	0	0.523185	0.652263	0.594084	0.724521	0.661195	0.847865	0.673338	0.813899	0.831925	0.704691	0.686954	0.640376	0.74041	0.633743	0.68968	0.797423	0.954321	0.868485	0.847176
jaspar_2022_nematodes_m32_MA1443.1	0.562413	0.87867	0.893652	0.867796	0.765067	0.709041	0.82423	0.531005	0.489904	0.656938	0.594947	0.618267	0.462668	0.514094	0.820461	0.654878	0.423954	0.580904	0.795064	0.397653	0.711888	0.741576	0.523899	0.523185	0	0.661268	0.641242	0.673546	0.690567	0.807474	0.702215	0.784784	0.824153	0.731392	0.562841	0.60715	0.724287	0.680208	0.847845	0.783455	0.885547	0.84089	0.838621
jaspar_2022_nematodes_m33_MA1444.1	0.689119	0.777929	0.787614	0.8691	0.739877	0.615786	0.778307	0.6538	0.749168	0.712448	0.715527	0.430437	0.607913	0.516574	0.817961	0.726234	0.628657	0.670281	0.622312	0.695196	0.701269	0.764363	0.548255	0.652263	0.661268	0	0.661257	0.741346	0.782881	0.677368	0.60147	0.780201	0.432905	0.69104	0.688734	0.676667	0.481818	0.709839	0.796909	0.622874	0.884435	0.699236	0.732323
jaspar_2022_nematodes_m34_MA1445.1	0.707574	0.833344	0.786359	0.807642	0.818862	0.692661	0.812119	0.727937	0.771645	0.238585	0.762039	0.777481	0.724095	0.699863	0.83701	0.561031	0.715736	0.703746	0.823433	0.650881	0.744541	0.830704	0.702219	0.594084	0.641242	0.661257	0	0.822933	0.848943	0.880449	0.705244	0.833496	0.781805	0.49062	0.6841	0.619219	0.82124	0.75592	0.76271	0.575448	0.933408	0.801494	0.875689
jaspar_2022_nematodes_m35_MA1446.1	0.692825	0.767458	0.708285	0.67067	0.374922	0.654184	0.688986	0.656518	0.369992	0.783786	0.753362	0.691399	0.65708	0.637079	0.552868	0.709395	0.710015	0.615034	0.785345	0.637207	0.52632	0.66561	0.650726	0.724521	0.673546	0.741346	0.822933	0	0.752736	0.764325	0.778106	0.747386	0.665044	0.768429	0.699324	0.604916	0.743187	0.745836	0.78453	0.75256	0.551124	0.864998	0.825557
jaspar_2022_nematodes_m36_MA1448.1	0.739047	0.754337	0.757053	0.761664	0.582932	0.736349	0.725227	0.779397	0.759574	0.726566	0.679784	0.634911	0.754248	0.752923	0.702547	0.701219	0.673799	0.76155	0.66207	0.690604	0.860464	0.753353	0.788355	0.661195	0.690567	0.782881	0.848943	0.752736	0	0.709419	0.758638	0.608327	0.797417	0.840773	0.75777	0.720715	0.680146	0.742907	0.747105	0.801751	0.763008	0.81105	0.839043
jaspar_2022_nematodes_m37_MA1449.1	0.729372	0.824594	0.781402	0.516392	0.837981	0.792547	0.727264	0.86185	0.799321	0.882402	0.809854	0.614816	0.846108	0.781237	0.809715	0.844029	0.83886	0.856483	0.442831	0.674494	0.832313	0.787213	0.816498	0.847865	0.807474	0.677368	0.880449	0.764325	0.709419	0	0.792988	0.71789	0.809417	0.894778	0.755256	0.745639	0.503632	0.783876	0.422985	0.750051	0.827835	0.85046	0.676532
jaspar_2022_nematodes_m38_MA1450.1	0.825194	0.758863	0.901409	0.82378	0.624152	0.766927	0.755123	0.629325	0.802262	0.727043	0.80463	0.761371	0.596222	0.639293	0.82503	0.645247	0.653359	0.603709	0.734641	0.805038	0.730537	0.771588	0.587741	0.673338	0.702215	0.60147	0.705244	0.778106	0.758638	0.792988	0	0.698631	0.71259	0.577539	0.782242	0.772685	0.761161	0.755033	0.599059	0.575491	0.833626	0.872291	0.752458
jaspar_2022_nematodes_m39_MA1451.1	0.752029	0.87539	0.7606	0.725053	0.614042	0.639104	0.544396	0.839824	0.752359	0.77154	0.716621	0.703675	0.777782	0.785759	0.704081	0.849056	0.826967	0.821974	0.501997	0.6681	0.726134	0.694255	0.759978	0.813899	0.784784	0.780201	0.833496	0.747386	0.608327	0.71789	0.698631	0	0.720586	0.696518	0.786941	0.765474	0.597718	0.843329	0.720918	0.622495	0.892845	0.792051	0.80711
jaspar_2022_nematodes_m3_MA0262.1	0.757471	0.845016	0.699709	0.728438	0.625311	0.479201	0.733632	0.832232	0.686444	0.775339	0.767695	0.593888	0.813499	0.763421	0.726645	0.70891	0.806299	0.826792	0.667955	0.783705	0.665524	0.722642	0.801921	0.831925	0.824153	0.432905	0.781805	0.665044	0.797417	0.809417	0.71259	0.720586	0	0.714714	0.735792	0.772389	0.729604	0.668659	0.803812	0.721095	0.855325	0.759875	0.662146
jaspar_2022_nematodes_m40_MA1699.1	0.710824	0.69228	0.849268	0.834283	0.694814	0.614426	0.812647	0.71541	0.736203	0.523229	0.834277	0.719496	0.729878	0.726405	0.812019	0.685725	0.750901	0.715468	0.801426	0.721667	0.685218	0.865807	0.694877	0.704691	0.731392	0.69104	0.49062	0.768429	0.840773	0.894778	0.577539	0.696518	0.714714	0	0.707542	0.635769	0.859654	0.708815	0.80276	0.576873	0.855368	0.893444	0.789738
jaspar_2022_nematodes_m41_MA1701.1	0.236502	0.671372	0.815496	0.810811	0.673421	0.610212	0.595647	0.573816	0.680078	0.614166	0.777093	0.697293	0.552015	0.610787	0.751022	0.635629	0.551521	0.610935	0.69325	0.278526	0.572717	0.790076	0.640304	0.686954	0.562841	0.688734	0.6841	0.699324	0.75777	0.755256	0.782242	0.786941	0.735792	0.707542	0	0.322503	0.752132	0.780401	0.716964	0.657655	0.912844	0.793691	0.826968
jaspar_2022_nematodes_m42_MA1703.1	0.290656	0.758722	0.737635	0.697037	0.636341	0.548872	0.514171	0.486554	0.653469	0.49106	0.804592	0.696621	0.556931	0.621143	0.673945	0.721645	0.581272	0.499885	0.630025	0.301317	0.645762	0.803294	0.580093	0.640376	0.60715	0.676667	0.619219	0.604916	0.720715	0.745639	0.772685	0.765474	0.772389	0.635769	0.322503	0	0.724571	0.784227	0.797909	0.600664	0.912232	0.865807	0.85193
jaspar_2022_nematodes_m43_MA1704.1	0.70541	0.819877	0.685856	0.756807	0.702928	0.593185	0.525337	0.728439	0.737471	0.771921	0.783539	0.435902	0.681854	0.605825	0.780266	0.795723	0.679134	0.728114	0.13113	0.668126	0.793254	0.830854	0.674775	0.74041	0.724287	0.481818	0.82124	0.743187	0.680146	0.503632	0.761161	0.597718	0.729604	0.859654	0.752132	0.724571	0	0.692066	0.683684	0.828874	0.910228	0.827486	0.704443
jaspar_2022_nematodes_m4_MA0263.1	0.793045	0.817407	0.812019	0.835158	0.671792	0.573264	0.836978	0.598416	0.724388	0.679917	0.626783	0.707626	0.567334	0.671308	0.819899	0.759438	0.591573	0.569872	0.763889	0.79924	0.721325	0.787941	0.660264	0.633743	0.680208	0.709839	0.75592	0.745836	0.742907	0.783876	0.755033	0.843329	0.668659	0.708815	0.780401	0.784227	0.692066	0	0.79013	0.786391	0.855723	0.742165	0.771846
jaspar_2022_nematodes_m5_MA0264.1	0.745811	0.813093	0.742087	0.639683	0.817864	0.82171	0.738215	0.652674	0.783219	0.741032	0.739887	0.742717	0.627446	0.72212	0.756999	0.844944	0.674268	0.573514	0.582621	0.755714	0.818095	0.785652	0.637394	0.68968	0.847845	0.796909	0.76271	0.78453	0.747105	0.422985	0.599059	0.720918	0.803812	0.80276	0.716964	0.797909	0.683684	0.79013	0	0.739153	0.820131	0.814715	0.758069
jaspar_2022_nematodes_m6_MA0537.1	0.679715	0.560351	0.799162	0.822089	0.587108	0.63987	0.619214	0.815841	0.782687	0.680593	0.720504	0.761058	0.768249	0.721469	0.738164	0.769777	0.79749	0.774959	0.771301	0.617903	0.645338	0.734507	0.757282	0.797423	0.783455	0.622874	0.575448	0.75256	0.801751	0.750051	0.575491	0.622495	0.721095	0.576873	0.657655	0.600664	0.828874	0.786391	0.739153	0	0.825844	0.73939	0.765287
jaspar_2022_nematodes_m7_MA0538.1	0.886571	0.723366	0.694159	0.837027	0.627517	0.879845	0.812953	0.951427	0.741241	0.912566	0.841655	0.81969	0.921216	0.893304	0.576599	0.732637	0.942567	0.929839	0.849374	0.832722	0.759832	0.793343	0.915472	0.954321	0.885547	0.884435	0.933408	0.551124	0.763008	0.827835	0.833626	0.892845	0.855325	0.855368	0.912844	0.912232	0.910228	0.855723	0.820131	0.825844	0	0.791587	0.76212
jaspar_2022_nematodes_m8_MA0540.1	0.837872	0.742217	0.842441	0.894106	0.785553	0.875704	0.829478	0.900352	0.892556	0.766984	0.83285	0.836884	0.847915	0.765689	0.767728	0.836598	0.889422	0.906515	0.857379	0.821419	0.833819	0.829511	0.821043	0.868485	0.84089	0.699236	0.801494	0.864998	0.81105	0.85046	0.872291	0.792051	0.759875	0.893444	0.793691	0.865807	0.827486	0.742165	0.814715	0.73939	0.791587	0	0.617897
jaspar_2022_nematodes_m9_MA0541.1	0.833421	0.786418	0.725013	0.854256	0.762973	0.761338	0.846693	0.821947	0.83283	0.874983	0.749312	0.86842	0.788759	0.799153	0.777353	0.90689	0.821004	0.827929	0.787969	0.8338	0.797562	0.751541	0.814369	0.847176	0.838621	0.732323	0.875689	0.825557	0.839043	0.676532	0.752458	0.80711	0.662146	0.789738	0.826968	0.85193	0.704443	0.771846	0.758069	0.765287	0.76212	0.617897	0
